ITEM,DESCRIPTION,Conversion Factor for P182
P03,100ct/1oz/Box/Fun Pops,0.015262515262515
P04,100ct/1.5oz/Box/Fun Pop,0.015262515262515
P04-PAL,100ct/1.5oz/Module/Fun Pop,0.015262515262515
P100,6ct/36pk/2.5oz/Display/Fun Pop,0.032967032967033
P101,196ct/36pk/2.5oz/Bin/Fun Pop,1.07692307692308
P102,100ct/1.5oz/Box/ValuTime,0.015262515262515
P104,100ct/1.5oz/Box/Weis,0.015262515262515
P105,100ct/1.5oz/Box/Big Y,0.015262515262515
P108,100ct/1.5oz/Box/Market Basket,0.015262515262515
P182,182ct/36pk/2.5oz/Bin/ Fun Pop,1
P182-W,182CT/36PK/2.5OZ/BIN/ WM FUN P,1
P185,182CT/36PK/2.5OZ/BIN/FUN POP C,1
P203,261ct/24pk/2.5oz/Bin/Fun Pop,0.956043956043956
P206,261ct/24pk/2.5oz/Bin/Valu Time,0.956043956043956
P22,6ct/36pk/2.5oz/DC/Fun Pop,0.032967032967033
P226,10ct/24pk/2.5oz/DC/Valu Time,0.036630036630037
P24,10ct/24pk/2.5oz Fun Pop DISPLA,0.036630036630037
P25-A,10/24CT/2.5OZ ISLAND POPS,0.036630036630037
P26,10ct/24pk/2.5oz HELADOS,0.036630036630037
P27,7CT/24PK/2.5OZ Single Flavor F,0.025641025641026
P40,10ct/24pk/2.5oz Fun Pops Display,0.036630036630037
P40-A,10ct/24pk/2.5oz Fun Pops Display/W Sticker,0.036630036630037
P424,676ct/12pk/2oz/Bin/ Fun Pop,1.23809523809524
P45,6ct/36pk/2.5oz/RF/Pig Wig,0.032967032967033
P46,6ct/36pk/2.5oz/RF/Fun Pop,0.032967032967033
P47,24ct/12pk/2oz/DC/Fun Pop,0.043956043956044
P48,6ct/36pk/2.5oz/DC/Weis,0.032967032967033
P57,24ct/12pk/2oz/DC/$.99 Fun Pop,0.043956043956044
P826,261ct/24pk/2.5oz HELADOS,0.956043956043956
PB82,182CT/36PK/2.5OZ/BIN/ BEST CHO,1
PB84,182ct/36pk/2.5oz/Bin/Big Y,1
PB94,182CT/36PK/2.5OZ QUALITY & VAL,1
PB96,182ct/36pk/2.5oz/Bin/Bet Valu,1
PB97,182ct/36pk/2.5oz/Bin/Pig Wig,1
PC52,Weis  RF/Bin/ Combo-KIT,0.747252747252747
PH182,112/36pk/2.5oz Fun Pops,0.615384615384615
PH182-W,112CT/36PK/2.5OZ WM FUN POPS,0.615384615384615
PH203,160/24ct/2.5oz Fun Pops,0.586080586080586
PH206,160/24ct/2.5oz VALU TIME,0.586080586080586
PH424,336/12pk/2oz Fun Pops,0.615384615384615
PH826,160/24CT/2.5OZ HELADOS FUN POP,0.586080586080586
PHL30,112CT/36PK/2.5oz,0.615384615384615
PHL421,112CT/36PK/2.5OZ SE GROCERS,0.615384615384615
PHL744,112CT/36PK/2.5OZ Harris Teeter,0.615384615384615
PL04,36CT/12PK/1.5OZ SMILEY POPS,0.065934065934066
PL05,261CT/24PK/2.5OZ/BIN/SMILEY PO,0.956043956043956
PL06,100ct/1oz Laura Lynn,0.015262515262515
PL069,304/24pk/2.5oz AHOLD,1.11355311355311
PL077,182PK/36CT/2.5OZ FOOD LION,1
PL17,100ct/1oz Better Valu,0.015262515262515
PL20,261CT/24PK/2.5OZ JUNGLE JAMMER,0.956043956043956
PL235,261pk/24ct/2.5oz HEB Hill Coun,0.956043956043956
PL236,261pk/24ct/2.5oz HEB MX Hill C,0.956043956043956
PL237,676pk/12ct/2oz HEB MX Hill Cou,1.23809523809524
PL24,261CT/24PK/2.5OZ/BIN/EXCEPTION,0.956043956043956
PL290,290/ct/24pk/2.5oz/Bin/ Kroger,1.06227106227106
PL30,182CT/36PK/2.5oz,1
PL35,10pk/24ct/2.5oz HEB Hill Count,0.036630036630037
PL354,6ct/36pk/2.5oz/Display/Kroger,0.032967032967033
PL39,6CT/36PK/2.5OZ SE GROCERS,0.032967032967033
PL41,676pk/12ct/2oz HEB Hill Cou,1.23809523809524
PL45,100CT/1.5OZ HARRIS TEETER,0.009157509157509
PL47,196ct/36pk/2.5oz/Bin/ Essential,1.07692307692308
PL48,100ct/1oz/Box/Essential Everyday,0.015262515262515
PL49,6ct/36pk/2.5oz/Display/Market,0.032967032967033
PL50,182CT/36PK/2.5OZ/BIN/ MARKET B,1
PL51,6ct/36pk/2.5oz/Display/Essential,0.032967032967033
PL54,208/ct/36pk/2.5oz/Bin/ Kroger,1.14285714285714
PL55,6/36CT/2.5OZ QUALITY & VALUE P,0.032967032967033
PL556,182PK/36CT/2.5OZ HANNAFORD,1
PL557,100CT/1OZ HANNAFORD,0.015262515262515
PL56,6pk/36ct/2.5oz HANNAFORD,0.032967032967033
PL72,100ct/1oz Valu Time,0.015262515262515
PL744,182CT/36PK/2.5O HARRIS TEETER,1
PL77,6pk/36ct/2.5oz FOOD LION,0.032967032967033
PL78,100CT/1OZ FOOD LION,0.015262515262515
PL81,6ct/36pk/2.5oz Best Choice,0.032967032967033
PL85,24pk/12ct/2.0oz HEB Hill Count,0.043956043956044
PL855,261CT/24PK/2.5OZ JUNGLE JAMMER,0.956043956043956
PL949,182CT/36PK/2.5OZ/BIN/ OUR FAMI,1
